 tid |                  name                   
  26 | מזכירות תלמידי בוגר
 195 | מזכיר לענייני הוראה ולתמידים
 310 | מזכיר לענייני הוראה ולתמידים
 196 | מזכיר מכון
 311 | מזכיר מכון
 312 | מזכירת דיקן משנה
 197 | מזכירת דיקן משנה
  84 | מזכירת התוכנית
 313 | מזכירת התוכנית
 314 | מזכירת חוג
  85 | מזכירת חוג
 315 | מזכירת כח אדם
 140 | מזכירת כח אדם
  54 | מידע כללי
 223 | מידע לתלמידים חדשים
 262 | מינהלן הוראה ותלמידים
 316 | מינהלן הוראה ותלמידים
 335 | מכוני מחקר
 317 | מנהל יחידה לננוייצור
 142 | מנהל יחידה לננוייצור
 318 | מנהל כוח אדם-פקולטה
  89 | מנהל כוח אדם-פקולטה
 204 | מנהל/ת אדמיניסטרטיבי
 319 | מנהל/ת אדמיניסטרטיבי
 320 | מנהלת יחידה לננואפיון
 145 | מנהלת יחידה לננואפיון
 267 | מנהלת יחידת בת כספים
 321 | מנהלת יחידת בת כספים
 322 | מנהלת מחלקת כח אדם פקולטה
 268 | מנהלת מחלקת כח אדם פקולטה
  48 | מקרא
   3 | מר
 148 | מתאמת מחשוב-פקולטה
 323 | מתאמת מחשוב-פקולטה
 270 | מתאמת מיחשוב
 324 | מתאמת מיחשוב
  37 | מתמטיקה
 325 | מתרגל
 210 | מתרגל
  50 | נהלי הוראה ולימודים
  46 | ניהול טכנולוגיה
 151 | סגן דיקן- הוראה
 326 | סגן דיקן- הוראה
 327 | סגן דיקן- מחקר
 273 | סגן דיקן- מחקר
 221 | ספריות
 153 | עוזר דיקן
 328 | עוזר דיקן
 329 | עוזר דיקן הפקולטה
 154 | עוזר דיקן הפקולטה
 155 | עוזר דיקן למינויים ולהעלאות
 330 | עוזר דיקן למינויים ולהעלאות
 102 | עוזר מינהל יחידת שירות
 331 | עוזר מינהל יחידת שירות
 332 | עוזרת לדיווח כח אדם
 157 | עוזרת לדיווח כח אדם
 333 | עוזרת לחשב הפקולטה
 279 | עוזרת לחשב הפקולטה
 334 | עוזרת למתאמת המחשוב
 159 | עוזרת למתאמת המחשוב
 337 | עוזר/ת מינהל
 106 | עוזר/ת מינהל
 281 | עוזר/ת מינהל
  13 | פיסיקה
   7 | פרופ
   4 | פרופ'
   8 | פרופ 
 338 | רכזי שטחי הוראה-בניין לוי
 167 | רכזי שטחי הוראה-בניין לוי
 282 | רכזי שטחי הוראה-בניין לוי
 283 | רכזת בוגר 
 339 | רכזת בוגר 
 108 | רכזת בוגר 
  24 | רציונליות
  49 | שירותים אוניברסיטאים
 220 | שירותי מחשוב לסטודנטים
 229 | שירותי מידע
 109 | שירותי שכפול- פקולטה
 340 | שירותי שכפול- פקולטה
 284 | שירותי שכפול- פקולטה
  47 | שנתונים קודמים
  53 | תואר בוגר
  52 | תואר מוסמך
  36 | תוכנית משולבת במדעי הכימיה והביולוגיה
  41 | תוכנית משולבת במדעים מדויקים
  22 | תלמידי מחקר מדעי המחשב
  23 | תלמידי מחקר פיסיקה יישומית
(175 rows)

